surface_type,surface_name,observed_actions,observed_sessions,failure_rate,classification,operator_only_caveat,caveat
mcp_tool,context,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,explain,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,get,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,judge,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
mcp_tool,maintenance,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
mcp_tool,query,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,read,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,run,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
mcp_tool,status,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
mcp_tool,write,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,agent,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent doctor,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent install,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent manifest,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent manual,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent status,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agent uninstall,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agents,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agents status,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,agents work-item,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights cost-rollups,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights costs,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights coverage,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights debt,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights phases,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights profiles,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights tags,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights threads,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights timeline,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights tool-usage,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights usage-timeline,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze insights work-events,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze latency,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze pace,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze tools,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze turns,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,analyze usage,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,annotations,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,annotations import,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,annotations join,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,compare,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,config,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,config action-affordances,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,config completions,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,config paths,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,config query-completions,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,continue,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,dashboard,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,delete,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,demo,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,demo receipts,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,demo script,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,demo seed,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,demo tour,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,demo verify,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,facets,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,hooks,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,hooks install,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,hooks status,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,hooks uninstall,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,import,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,init,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,judge,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,manual,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,mark,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,note,0,0,0.0,kill,False,zero captured agent use in this archive window; review before removal
cli_command,ops,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops auth,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops backup,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops debt,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops debt list,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops diagnostics,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops diagnostics codex-title-census,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops diagnostics space,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops diagnostics workload,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops doctor,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed backfill,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed disable,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed enable,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed preflight,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed resolve-failure,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops embed status,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops excise,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops insights,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
cli_command,ops insights audit,0,0,0.0,keep,True,operator-only surface; zero captured agent use is not removal evidence
